"Anatomical Strucures, Cell Types and Biomarkers Table for kidney v1.0",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,
Date:,07/15/2021,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,AS/8,AS/8/LABEL,AS/8/ID
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,glomerular capsule,glomerular capsule,UBERON:0001230,Bowman's space,Bowman's space,UBERON:0001286,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,proximal convoluted tubule,proximal convoluted tubule,UBERON:0001287,proximal convoluted tubule segment 1,proximal convoluted tubule segment 1,UBERON:0004196,,,,,,,,,
kidney,kidney,UBERON:0002113,renal lobe,renal lobe,UBERON:0009913,renal lobule,renal lobule,UBERON:0009914,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,glomerular capsule,glomerular capsule,UBERON:0001230,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,renal medulla loop of Henle,renal medulla loop of Henle,UBERON:0034997,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,juxtaglomerular apparatus,juxtaglomerular apparatus,UBERON:0002303,macula densa,macula densa,UBERON:0002335,,,,,,,,,
kidney,kidney,UBERON:0002113,renal pelvis,renal pelvis,UBERON:0001224,renal papilla,renal papilla,UBERON:0001228,tip of renal papilla,tip of renal papilla,UBERON:0009095,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,uriniferous tubule,uriniferous tubule,UBERON:0007684,collecting duct of renal tubule,collecting duct of renal tubule,UBERON:0001232,kidney collecting duct epithelium,kidney collecting duct epithelium,UBERON:0014388,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,outer renal medulla vasa recta,outer renal medulla vasa recta,UBERON:0004775,outer medulla vasa recta ascending limb,outer medulla vasa recta ascending limb,UBERON:0009093,,,,,,,,,
kidney,kidney,UBERON:0002113,renal pelvis,renal pelvis,UBERON:0001224,mucosa of renal pelvis,mucosa of renal pelvis,UBERON:0005006,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,juxtaglomerular apparatus,juxtaglomerular apparatus,UBERON:0002303,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,renal glomerulus,renal glomerulus,UBERON:0000074,glomerular epithelium,glomerular epithelium,UBERON:0004188,glomerular basement membrane,glomerular basement membrane,UBERON:0005777,lamina densa of glomerular basement membrane,lamina densa of glomerular basement membrane,UBERON:0005787
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,outer renal medulla peritubular capillary,outer renal medulla peritubular capillary,UBERON:0006341,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,renal glomerulus,renal glomerulus,UBERON:0000074,renal glomerulus vasculature,renal glomerulus vasculature,UBERON:0004190,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,kidney outer medulla inner stripe,kidney outer medulla inner stripe,UBERON:0004201,outer medulla inner stripe loop of Henle,outer medulla inner stripe loop of Henle,UBERON:0006541,premacula segment of distal straight tubule,premacula segment of distal straight tubule,UBERON:0006376,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,inner medulla of kidney,inner medulla of kidney,UBERON:0001294,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,proximal tubule,proximal tubule,UBERON:0004134,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,inner medulla of kidney,inner medulla of kidney,UBERON:0001294,inner renal medulla vasa recta,inner renal medulla vasa recta,UBERON:0004776,inner medulla vasa recta ascending limb,inner medulla vasa recta ascending limb,UBERON:0009092,,,,,,,,,
kidney,kidney,UBERON:0002113,kidney vasculature,kidney vasculature,UBERON:0006544,kidney capillary,kidney capillary,UBERON:0003527,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,uriniferous tubule,uriniferous tubule,UBERON:0007684,nephron,nephron,UBERON:0001285,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,renal medulla interstitium,renal medulla interstitium,UBERON:0005211,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,inner medulla of kidney,inner medulla of kidney,UBERON:0001294,inner renal medulla vasa recta,inner renal medulla vasa recta,UBERON:0004776,inner medulla vasa recta descending limb,inner medulla vasa recta descending limb,UBERON:0009089,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,outer renal medulla vasa recta,outer renal medulla vasa recta,UBERON:0004775,outer medulla vasa recta descending limb,outer medulla vasa recta descending limb,UBERON:0009090,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal cortex artery,renal cortex artery,UBERON:0005268,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal cortex vein,renal cortex vein,UBERON:0005269,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,maturing nephron,maturing nephron,UBERON:0007654,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,juxtaglomerular apparatus,juxtaglomerular apparatus,UBERON:0002303,part of afferent arteriole forming the juxtaglomerular complex,part of afferent arteriole forming the juxtaglomerular complex,UBERON:0006374,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,glomerular capsule,glomerular capsule,UBERON:0001230,pronephric glomerular capsule epithelium,pronephric glomerular capsule epithelium,UBERON:2005311,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal cortex interstitium,renal cortex interstitium,UBERON:0005270,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,juxtaglomerular apparatus,juxtaglomerular apparatus,UBERON:0002303,macula densa,macula densa,UBERON:0002335,distal convoluted tubule macula densa,distal convoluted tubule macula densa,UBERON:0003546,,,,,,
kidney,kidney,UBERON:0002113,renal duct,renal duct,UBERON:0006553,,,,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,proximal convoluted tubule,proximal convoluted tubule,UBERON:0001287,,,,,,,,,,,,
