"Anatomical Strucures, Cell Types and Biomarkers Table for large intestine v1.0",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Author Name(s):,,,,,,,,,,,,,,
Author ORCID(s):,,,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,
Date:,07/15/2021,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID
large intestine,large intestine,UBERON:0000059,caecum,caecum,UBERON:0001153,cecum mucosa,cecum mucosa,UBERON:0000314,cecal tonsil,cecal tonsil,UBERON:0013478,,,
large intestine,large intestine,UBERON:0000059,caecum,caecum,UBERON:0001153,vermiform appendix,vermiform appendix,UBERON:0001154,submucosa of appendix,submucosa of appendix,UBERON:0004928,,,
large intestine,large intestine,UBERON:0000059,caecum,caecum,UBERON:0001153,submucosa of cecum,submucosa of cecum,UBERON:0004927,,,,,,
large intestine,large intestine,UBERON:0000059,wall of large intestine,wall of large intestine,UBERON:0001169,mucosa of large intestine,mucosa of large intestine,UBERON:0001207,crypt of Lieberkuhn of large intestine,crypt of Lieberkuhn of large intestine,UBERON:0001984,epithelium of crypt of Lieberkuhn of large intestine,epithelium of crypt of Lieberkuhn of large intestine,UBERON:0022281
large intestine,large intestine,UBERON:0000059,wall of large intestine,wall of large intestine,UBERON:0001169,large intestine smooth muscle,large intestine smooth muscle,UBERON:0004220,large intestine smooth muscle longitudinal layer,large intestine smooth muscle longitudinal layer,UBERON:0012399,,,
large intestine,large intestine,UBERON:0000059,rectum,rectum,UBERON:0001052,epithelium of rectum,epithelium of rectum,UBERON:0003354,,,,,,
large intestine,large intestine,UBERON:0000059,wall of large intestine,wall of large intestine,UBERON:0001169,large intestine smooth muscle,large intestine smooth muscle,UBERON:0004220,large intestine smooth muscle circular layer,large intestine smooth muscle circular layer,UBERON:0012398,,,
large intestine,large intestine,UBERON:0000059,colon,colon,UBERON:0001155,submucosa of colon,submucosa of colon,UBERON:0003331,,,,,,
large intestine,large intestine,UBERON:0000059,colon,colon,UBERON:0001155,proximal-distal subdivision of colon,proximal-distal subdivision of colon,UBERON:0000168,,,,,,
large intestine,large intestine,UBERON:0000059,anal canal,anal canal,UBERON:0000159,submucosa of anal canal,submucosa of anal canal,UBERON:0003329,,,,,,
large intestine,large intestine,UBERON:0000059,caecum,caecum,UBERON:0001153,cecum mucosa,cecum mucosa,UBERON:0000314,,,,,,
large intestine,large intestine,UBERON:0000059,rectum,rectum,UBERON:0001052,submucosa of rectum,submucosa of rectum,UBERON:0003330,,,,,,
large intestine,large intestine,UBERON:0000059,colon,colon,UBERON:0001155,colonic mucosa,colonic mucosa,UBERON:0000317,,,,,,
large intestine,large intestine,UBERON:0000059,colorectum,colorectum,UBERON:0012652,,,,,,,,,
large intestine,large intestine,UBERON:0000059,colorectum,colorectum,UBERON:0012652,colorectal mucosa,colorectal mucosa,UBERON:0013067,,,,,,
large intestine,large intestine,UBERON:0000059,colon,colon,UBERON:0001155,right colon,right colon,UBERON:0008972,,,,,,
large intestine,large intestine,UBERON:0000059,wall of large intestine,wall of large intestine,UBERON:0001169,large intestine smooth muscle,large intestine smooth muscle,UBERON:0004220,,,,,,
large intestine,large intestine,UBERON:0000059,rectum,rectum,UBERON:0001052,transverse fold of rectum,transverse fold of rectum,UBERON:0035377,,,,,,
large intestine,large intestine,UBERON:0000059,rectum,rectum,UBERON:0001052,,,,,,,,,
large intestine,large intestine,UBERON:0000059,rectum,rectum,UBERON:0001052,mucosa of rectum,mucosa of rectum,UBERON:0003346,,,,,,
large intestine,large intestine,UBERON:0000059,anal canal,anal canal,UBERON:0000159,,,,,,,,,
large intestine,large intestine,UBERON:0000059,anal canal,anal canal,UBERON:0000159,pectinate line,pectinate line,UBERON:0006574,,,,,,
large intestine,large intestine,UBERON:0000059,caecum,caecum,UBERON:0001153,caecum epithelium,caecum epithelium,UBERON:0005636,,,,,,
large intestine,large intestine,UBERON:0000059,rectum,rectum,UBERON:0001052,muscle layer of rectum,muscle layer of rectum,UBERON:0018111,,,,,,
large intestine,large intestine,UBERON:0000059,colon,colon,UBERON:0001155,muscle layer of colon,muscle layer of colon,UBERON:0012489,,,,,,
large intestine,large intestine,UBERON:0000059,colon,colon,UBERON:0001155,colonic epithelium,colonic epithelium,UBERON:0000397,,,,,,
large intestine,large intestine,UBERON:0000059,colon,colon,UBERON:0001155,serosa of colon,serosa of colon,UBERON:0003335,,,,,,
large intestine,large intestine,UBERON:0000059,caecum,caecum,UBERON:0001153,caecum mesentery,caecum mesentery,UBERON:0005677,,,,,,
large intestine,large intestine,UBERON:0000059,rectum,rectum,UBERON:0001052,rectal valve,rectal valve,UBERON:0017627,,,,,,
large intestine,large intestine,UBERON:0000059,rectum,rectum,UBERON:0001052,serosa of rectum,serosa of rectum,UBERON:0003334,,,,,,
large intestine,large intestine,UBERON:0000059,caecum,caecum,UBERON:0001153,vermiform appendix,vermiform appendix,UBERON:0001154,,,,,,
large intestine,large intestine,UBERON:0000059,,,,,,,,,,,,
large intestine,large intestine,UBERON:0000059,caecum,caecum,UBERON:0001153,,,,,,,,,
