"Anatomical Strucures, Cell Types and Biomarkers Table for brain v1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,07/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,AS/8,AS/8/LABEL,AS/8/ID,AS/9,AS/9/LABEL,AS/9/ID,AS/10,AS/10/LABEL,AS/10/ID
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,cerebellum,cerebellum,UBERON:0002037,valvula cerebelli,valvula cerebelli,UBERON:2000603,molecular layer valvula cerebelli,molecular layer valvula cerebelli,UBERON:2000913,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,fourth ventricle,fourth ventricle,UBERON:0002422,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,vasculature of brain,vasculature of brain,UBERON:0008998,,,,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,cerebellum,cerebellum,UBERON:0002037,cerebellar nuclear complex,cerebellar nuclear complex,UBERON:0002130,nucleus of cerebellar nuclear complex,nucleus of cerebellar nuclear complex,UBERON:0008995,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,cerebral subcortex,cerebral subcortex,UBERON:0000454,collection of basal ganglia,collection of basal ganglia,UBERON:0010011,basal ganglion,basal ganglion,UBERON:0002420,corpus striatum,corpus striatum,UBERON:0000369,striatum,striatum,UBERON:0002435,ventral striatum,ventral striatum,UBERON:0005403,nucleus accumbens,nucleus accumbens,UBERON:0001882,,,,,,
brain,brain,UBERON:0000955,subarachnoid space,subarachnoid space,UBERON:0000315,subarachnoid sulcus,subarachnoid sulcus,UBERON:0008334,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,cerebellum,cerebellum,UBERON:0002037,cerebellar nuclear complex,cerebellar nuclear complex,UBERON:0002130,cerebellum interpositus nucleus,cerebellum interpositus nucleus,UBERON:0004073,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,regional part of brain,regional part of brain,UBERON:0002616,,,,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,hindbrain subarachnoid space,hindbrain subarachnoid space,UBERON:0005219,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,cerebral subcortex,cerebral subcortex,UBERON:0000454,collection of basal ganglia,collection of basal ganglia,UBERON:0010011,basal ganglion,basal ganglion,UBERON:0002420,corpus striatum,corpus striatum,UBERON:0000369,striatum,striatum,UBERON:0002435,dorsal striatum,dorsal striatum,UBERON:0005382,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,cerebellum,cerebellum,UBERON:0002037,vestibulocerebellum,vestibulocerebellum,UBERON:0014642,flocculonodular lobe,flocculonodular lobe,UBERON:0003012,,,,,,,,,,,,,,,
